20250817_12:35:57:register class:GObject
20250817_12:35:58:register class:GComponent
20250817_12:35:58:register class:GSceneComponent
20250817_12:35:58:register class:GPrimitiveComponent
20250817_12:35:58:register class:GRenderObjComponent
20250817_12:35:58:register class:GStaticSpriteComponent
20250817_12:35:58:register class:GSympleAnimationComponent
20250817_12:35:58:register class:GActor
20250817_12:35:58:register class:GCameraComponent
20250817_12:35:58:register class:GCamera
20250817_12:35:58:register class:GAnimationSystemComponent
20250817_12:35:58:register class:GPlayer
20250817_12:35:58:register class:GAnimActor
20250817_12:35:58:register class:GStaticActor
20250817_12:35:58:register class:GameMode
20250817_12:35:58:register class:GWorld
20250817_12:35:58:register class:LevelManager
20250817_12:35:58:register class:GGame
20250817_12:35:58:register class:MyActor
